price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
990000.0,6394.820275854621,,5.0,MULTI_FAMILY,Queens,0
1288000.0,8319.725773031063,,6.0,MULTI_FAMILY,Queens,0
945000.0,6104.146626952139,,3.0,SINGLE_FAMILY,Queens,0
1288000.0,8319.725773031063,,6.0,MULTI_FAMILY,Queens,0
949000.0,6129.98428463236,,6.0,MULTI_FAMILY,Queens,0
415000.0,2680.656984322897,,4.0,SINGLE_FAMILY,Queens,0
695000.0,4489.293021938344,,5.0,SINGLE_FAMILY,Queens,0
599900.0,3875.0027105910985,,3.0,SINGLE_FAMILY,Queens,0
1245000.0,8041.970952968692,,6.0,MULTI_FAMILY,Queens,0
1279000.0,8261.591043250568,,6.0,MULTI_FAMILY,Queens,0
979000.0,6323.766717234015,,5.0,MULTI_FAMILY,Queens,0
1188000.0,7673.784331025546,,6.0,MULTI_FAMILY,Queens,0
278000.0,1795.7172087753383,,2.0,CONDO,Queens,0
699999.0,4521.583634624201,,3.0,SINGLE_FAMILY,Queens,0
500000.0,3229.7072100275873,,2.0,CONDO,Queens,0
199000.0,1285.4234695909795,,1.0,CONDO,Queens,0
699000.0,4515.130679618566,,4.0,MULTI_FAMILY,Queens,0
248000.0,1601.934776173683,,1.0,CONDO,Queens,0
799000.0,5161.072121624084,,4.0,SINGLE_FAMILY,Queens,0
324800.0,2098.0178036339207,,2.0,CONDO,Queens,0
247000.0,1595.475361753628,,1.0,CONDO,Queens,0
299000.0,1931.364911596497,,2.0,CONDO,Queens,0
185000.0,1194.9916677102071,,1.0,CONDO,Queens,0
725000.0,4683.075454540001,,4.0,SINGLE_FAMILY,Queens,0
325000.0,2099.3096865179314,,2.0,CONDO,Queens,0
848888.0,5483.319388211797,,6.0,MULTI_FAMILY,Queens,0
175000.0,1130.3975235096555,,0.0,CONDO,Queens,0
260000.0,1679.447749214345,,2.0,CONDO,Queens,0
619000.0,3998.3775260141524,,3.0,SINGLE_FAMILY,Queens,0
288800.0,1865.4788845119344,,2.0,CONDO,Queens,0
269000.0,1737.5824789948417,,2.0,CONDO,Queens,0
439000.0,2835.682930404221,,2.0,TOWNHOUSE,Queens,0
1400000.0,9043.180188077244,,6.0,MULTI_FAMILY,Queens,0
2500000.0,16148.536050137936,,7.0,MULTI_FAMILY,Queens,0
380000.0,2454.5774796209657,,1.0,CONDO,Queens,0
289888.0,1872.5067274009546,,2.0,CONDO,Queens,0
325000.0,2099.3096865179314,,3.0,CONDO,Queens,0
649000.0,4192.159958615808,,3.0,SINGLE_FAMILY,Queens,0
395000.0,2551.4686959217943,,2.0,CONDO,Queens,0
149000.0,962.4527485882209,,0.0,CONDO,Queens,0
1185000.0,7654.406087765381,,6.0,MULTI_FAMILY,Queens,0
689000.0,4450.536535418015,,8.0,MULTI_FAMILY,Queens,0
255000.0,1647.1506771140691,,1.0,CONDO,Queens,0
